sex_age,Female_0 - 17 years,Female_18 to 49 years,Female_50 to 64 years,Female_65+ years,Male_0 - 17 years,Male_18 to 49 years,Male_50 to 64 years,Male_65+ years
2020-01,11,280,73,280,12,174,125,260
2020-02,0,347,219,295,0,300,240,261
2020-03,1991,85585,48528,33800,2424,82756,50549,36529
2020-04,9884,184379,96446,102176,10581,171754,97336,82401
2020-05,20448,178968,71625,69090,21055,171074,71005,49342
2020-06,36733,275876,80591,55877,35993,251360,76464,43999
2020-07,66617,424418,131561,84452,65027,377731,121499,69154
2020-08,52351,313363,97426,68844,51354,284145,91110,55285
2020-09,49262,296784,89627,66455,49123,269657,83933,53875
2020-10,95396,519659,184217,131572,95820,443469,170182,111680
2020-11,213688,1044230,388565,276572,213762,919780,357953,232765
2020-12,299467,1407800,547254,395824,300890,1257479,503545,324601
2021-01,283636,1162155,446257,316785,286540,1055994,416692,265628
2021-02,120704,445984,165828,110005,125554,420033,162972,94665
2021-03,126262,470227,168288,88509,130456,442181,165210,73786
2021-04,132301,413049,124905,56513,132934,373455,119564,44815
2021-05,71086,215578,64078,32563,72590,190262,60235,25955
2021-06,25307,101941,27746,15375,25534,89441,26489,12673
2021-07,82179,298620,75576,42801,80192,263409,72309,36762
2021-08,306894,773553,224830,142284,313160,666104,208265,123364
2021-09,126806,273714,79058,50191,130208,231379,72149,42621
