res_state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2020-01,0.0,44.0,0.0,27.0,431.0,79.0,15.0,0.0,0.0,156.0,635.0,0.0,0.0,94.0,0.0,101.0,15.0,16.0,45.0,0.0,83.0,29.0,21.0,111.0,0.0,13.0,0.0,0.0,101.0,0.0,39.0,18.0,1004.0,18.0,110.0,390.0,165.0,0.0,0.0,34.0,13.0,0.0,112.0,203.0,154.0,41.0,38.0,0.0,0.0,0.0,28.0,62.0,0.0,0.0
2020-02,0.0,55.0,0.0,50.0,507.0,90.0,36.0,32.0,0.0,269.0,123.0,0.0,0.0,28.0,0.0,143.0,40.0,19.0,41.0,62.0,255.0,24.0,26.0,133.0,16.0,35.0,18.0,0.0,35.0,0.0,12.0,0.0,267.0,12.0,57.0,1033.0,202.0,0.0,35.0,109.0,0.0,0.0,52.0,421.0,52.0,66.0,30.0,62.0,0.0,0.0,315.0,45.0,0.0,0.0
2020-03,249.0,2671.0,1057.0,2674.0,19017.0,6685.0,3764.0,1209.0,309.0,15673.0,5460.0,112.0,205.0,2395.0,1333.0,18465.0,5075.0,1092.0,1834.0,6338.0,12412.0,2964.0,680.0,12817.0,1248.0,2401.0,1829.0,375.0,3281.0,226.0,458.0,734.0,46049.0,739.0,2515.0,129577.0,5754.0,229.0,1411.0,14536.0,413.0,830.0,2670.0,611.0,4300.0,6494.0,1780.0,4214.0,46.0,552.0,8281.0,2778.0,477.0,258.0
2020-04,137.0,6205.0,2573.0,7233.0,46154.0,12056.0,9237.0,3202.0,4241.0,20414.0,14119.0,31.0,298.0,15317.0,839.0,63822.0,15575.0,4611.0,3515.0,9402.0,47890.0,17030.0,675.0,15367.0,8301.0,2503.0,5716.0,129.0,9664.0,537.0,5199.0,1875.0,86611.0,3370.0,3879.0,225815.0,16193.0,3634.0,1616.0,38603.0,292.0,226.0,4016.0,2081.0,9243.0,9225.0,3838.0,17847.0,21.0,314.0,7973.0,6428.0,807.0,317.0
2020-05,147.0,11430.0,4711.0,16171.0,70790.0,9244.0,3619.0,2097.0,4377.0,21386.0,14588.0,18.0,85.0,25173.0,959.0,51373.0,14565.0,4968.0,3497.0,3806.0,37764.0,24364.0,1120.0,9152.0,18205.0,8574.0,8207.0,89.0,20408.0,373.0,6128.0,2161.0,29803.0,4419.0,3669.0,134794.0,15843.0,2767.0,1684.0,22001.0,89.0,0.0,6188.0,1685.0,12747.0,10817.0,6191.0,26891.0,0.0,93.0,7442.0,10655.0,858.0,301.0
2020-06,614.0,21985.0,14480.0,71716.0,174002.0,6530.0,29765.0,423.0,1928.0,81219.0,30738.0,72.0,245.0,30184.0,5571.0,22850.0,11804.0,6518.0,5085.0,25.0,8166.0,15344.0,869.0,6544.0,11695.0,5349.0,11953.0,757.0,43790.0,283.0,3452.0,1124.0,14256.0,5095.0,13937.0,68372.0,18856.0,8784.0,6121.0,17046.0,223.0,0.0,28446.0,1316.0,27980.0,15855.0,14448.0,17496.0,43.0,221.0,14132.0,9825.0,1219.0,408.0
2020-07,2292.0,49832.0,20900.0,86883.0,282622.0,14780.0,4006.0,4256.0,3131.0,134495.0,76117.0,66.0,879.0,34640.0,15568.0,43787.0,22443.0,13275.0,11651.0,27.0,8875.0,20686.0,583.0,13319.0,20137.0,8453.0,16201.0,3179.0,55199.0,1202.0,5275.0,806.0,10827.0,8481.0,30467.0,58895.0,40139.0,23153.0,9851.0,26772.0,1084.0,0.0,56474.0,1591.0,59189.0,12355.0,17322.0,30279.0,417.0,185.0,24048.0,21938.0,3538.0,0.0
2020-08,2103.0,37494.0,17437.0,22817.0,151351.0,9539.0,3503.0,712.0,2397.0,148558.0,61779.0,765.0,3219.0,34271.0,9827.0,61087.0,27103.0,15846.0,13436.0,23.0,10437.0,13203.0,645.0,14368.0,20776.0,567.0,4189.0,3389.0,45112.0,2674.0,5129.0,686.0,11500.0,4723.0,16635.0,44051.0,33432.0,21676.0,7542.0,21368.0,2018.0,0.0,30914.0,5549.0,45654.0,5619.0,12359.0,29963.0,645.0,189.0,16412.0,20702.0,1957.0,0.0
2020-09,3059.0,28002.0,18803.0,16815.0,100709.0,11867.0,4561.0,632.0,2913.0,110969.0,38219.0,874.0,2040.0,35872.0,11223.0,63055.0,26822.0,17465.0,15321.0,14.0,12314.0,14738.0,867.0,18724.0,26161.0,71.0,2581.0,7347.0,42085.0,5715.0,7541.0,1222.0,16782.0,4326.0,11132.0,46968.0,30757.0,30183.0,7564.0,26695.0,3537.0,0.0,27063.0,5980.0,42013.0,2973.0,26511.0,26774.0,118.0,119.0,14014.0,43497.0,651.0,0.0
2020-10,9349.0,37994.0,22654.0,33404.0,123816.0,43079.0,16327.0,789.0,4270.0,128402.0,42469.0,1382.0,5707.0,44422.0,24770.0,200866.0,66553.0,29986.0,28590.0,13.0,27470.0,22210.0,1641.0,43629.0,61911.0,31629.0,454.0,19923.0,65076.0,13129.0,22829.0,2633.0,41894.0,17886.0,22361.0,74172.0,69306.0,37940.0,13288.0,54243.0,3254.0,2962.0,31349.0,9402.0,69151.0,1116.0,47736.0,34337.0,68.0,549.0,24074.0,95965.0,16.0,0.0
